id,name,price
173,Garnier,35000
221,Pepsodent,15000
718,Frisian Flag,30000
099,Beng-Beng,8000
123,Indomie Goreng,2500
234,Gudang Garam,15000
345,Sampoerna Mild,25000
456,Dancow,35000
567,Teh Botol Sosro,5000
678,Kecap ABC,10000
789,Batik Air,500000
890,Larutan Cap Kaki Tiga,3000
901,Bakmi Mewah,10000
203,Kopi Kapal Api,10000
304,Extra Joss,5000
405,Teh Pucuk Harum,3000
506,Bango Kecap Manis,12000
607,Bakmi Jawa,8000
708,Marlboro Red,25000
809,Wagyu A12 Ultra,100000000000
822,Lifebuoy,7000
933,Kacang Garuda,12000
644,Kratingdaeng,15000
755,Chitato,10000
866,Kecap Bango,8000
977,Extra Joss,2500
588,Aqua,5000
699,Kusuka,30000
810,Aquafina,6000
921,Pop Mie,4000
