"kdbranch","deskripsikatogori","net","margin"
KZ01,SKM (SIGARET KRETEK MESIN) LTLN,282681308.82,30533229.01
KZ01,PREPAID,269596898.88,18547781.51
KZ01,INSTANT NOODLE BAG,205893687.32,26246762.55
KZ01,BREAD,174107048.35,43971942.35
KZ01,PALM COOKING OIL,169529220.77,9801742.57
KZ01,SKM (SIGARET KRETEK MESIN) FF,147867011.48,16408879.19
KZ01,SHAMPOO,142697002.40,31447545.23
KZ01,TOOTH PASTE,136666021.80,30843456.24
KZ01,IMPULSE ICE CREAM,134842863.62,38382965.51
KZ01,MINERAL WATER,130021658.71,52580581.78
KZ01,LIQUID DETERGENT,125451034.67,17034101.53
KZ01,TETRAPACK LIQUID MILK,124764101.16,28448598.27
KZ01,PANTS DIAPERS,121472892.40,18747886.58
KZ01,GROWING UP MILK MAINSTREAM,120564162.97,4149039.82
KZ01,AEROSOL INSECTICIDES,112490173.62,13027826.34
KZ01,SUGAR,106845009.04,5194416.16
KZ01,EXTRUDED & PELLET,92579858.90,29572564.01
KZ01,RICE,92196208.28,6045237.02
KZ01,SPM (SIGARET PUTIH MESIN),91564301.58,10454659.59
KZ01,RTD TEA,90922881.18,23893554.29
KZ01,POWDER DETERGENT,87207893.58,8826827.88
KZ01,DISHWASHING CLEANER,87091146.70,12720639.61
KZ01,YOGHURT,84232356.44,16739529.38
KZ01,POTATOES,81370137.34,24916696.45
KZ01,MASK,77506150.91,24062318.36
KZ01,BOTTLE - CAN LIQUID MILK,77298252.47,9957696.46
KZ01,FACIAL WASH SOAP,71565921.55,16766532.05
KZ01,COOKIES BISCUIT,68883455.45,19637166.57
KZ01,BEAUTY LIQUID SOAP,68012638.64,16962656.83
KZ01,SWEETENED CONDENSED MILK,66584792.13,4824121.27
KZ01,HEALTHY LIQUID SOAP,65292916.97,16481868.48
KZ01,STICK BISCUIT,63667826.89,18583089.88
KZ01,GROWING UP MILK PREMIUM,63567675.77,1974422.62
KZ01,BLOCK CHOCOLATE,62809642.97,17255957.11
KZ01,RTD JUICE,59658673.52,13754643.64
KZ01,FACIAL TISSUE,56235577.24,16781361.15
KZ01,ISOTONIC DRINK,54902266.57,14513986.07
KZ01,ADULT VITAMINS/SUPLEMENT,51498572.95,13183515.71
KZ01,RTD COFFEE,49683488.81,13052786.49
KZ01,VITAMIN DRINK,48083252.32,15424298.87
KZ01,ENROBED CHOCOLATE,47994032.11,13685813.33
KZ01,CORN,47569139.68,14213492.44
KZ01,POCKET CANDY,47429416.64,15507617.57
KZ01,CARBONATED DRINK,47110928.57,5689351.46
KZ01,TRADITIONAL SNACK,45256570.21,14344211.11
KZ01,CONCENTRATE FABRIC CONDITIONER,44747218.88,7285847.17
KZ01,MINERAL WATER GALON,44615637.90,7472202.86
KZ01,ADULT DIAPERS,43884156.97,7932585.41
KZ01,WOMEN DEO,43061549.84,10446939.22
KZ01,WET TISSUE,42344511.74,9974663.64
KZ01,BODY LOTION,41211510.17,9962166.70
KZ01,BAR SOAP,40725034.46,11518661.50
KZ01,SANDWICH BISCUIT,40620023.25,11708297.66
KZ01,TRADITIONAL & CHINESE,39886617.75,10231678.85
KZ01,WAFER BISCUIT,38077691.17,10692082.50
KZ01,INSTANT COFFEE MIX,37786416.18,7337035.32
KZ01,SANITARY NAPKINS NIGHT,37629164.29,8304231.99
KZ01,SKT (SIGARET KRETEK TANGAN),37418400.70,4802327.44
KZ01,TOYS,37016535.92,11248462.18
KZ01,MEN FACIAL FOAM SOAP,36870245.09,9022574.45
KZ01,TOOTH BRUSH,35640450.44,11035216.36
KZ01,PEANUTS,34908983.57,10799588.84
KZ01,FLOOR CLEANER,34288521.17,7828046.27
KZ01,CHILLI,33707154.77,6380616.53
KZ01,ANTISEPTIC,33032057.15,8196606.87
KZ01,SAUSAGES,32503366.86,7706985.03
KZ01,CHEESE,32413426.76,5015822.14
KZ01,INSTANT NOODLE CUP,31734129.36,7167016.97
KZ01,COFFEE MIX,29979436.69,6675805.39
KZ01,CEREAL,28667638.14,6280253.65
KZ01,CRACKER BISCUIT,28139425.15,8231880.52
KZ01,REMEDIES DRINK,27640692.18,7975015.12
KZ01,FAMILY MILK,26386363.79,1194278.03
KZ01,PET FOODS & ACCESSORIES,25856909.81,8141457.32
KZ01,DILUTE FABRIC CONDITIONER,24576433.92,4415476.00
KZ01,LEISURE BAG,23850680.15,3364952.42
KZ01,CAJUPUTI OIL,23694036.63,3684138.69
KZ01,SOY SAUCE,23631364.48,3401928.58
KZ01,PREGNANT TEST & CONTRACEPTION,22947364.08,6248237.73
KZ01,GROWING UP MILK SUPER PREMIUM,22232000.93,640407.86
KZ01,HI-CALCIUM MILK,21453546.36,1502744.01
KZ01,DISINFECTANT,21437400.45,4498521.67
KZ01,TAKE HOME ICE CREAM,20564373.92,5642252.41
KZ01,PURE COFFEE,20523318.24,3792365.54
KZ01,CASSAVA,19875041.68,6138543.15
KZ01,MEN DEO ROLL ON,19038277.60,4803983.23
KZ01,BAG CANDY,18557445.53,5672373.78
KZ01,SEAWEED,18467318.97,5956687.58
KZ01,MOISTURIZER,18264955.50,4605239.34
KZ01,DRAGEES CHOCOLATE,18231745.95,5901007.04
KZ01,WOMEN COLOGNE,17528181.76,4565775.48
KZ01,TOILET CLEANER,17499965.82,3489365.39
KZ01,FOLLOW ON MILK MAINSTREAM,17413908.20,585598.07
KZ01,TELON OIL,17293526.79,3483060.11
KZ01,MARIE BISCUIT,16909274.36,4055261.76
KZ01,SANITARY NAPKINS WINGS,16232690.08,3788396.64
KZ01,INFANT MILK MAINSTREAM,16219454.19,591193.16
KZ01,MOUTHWASH,15458091.44,3880205.86
KZ01,BABY CEREAL,15284038.90,2916991.56
KZ01,HAIR STYLING,15203191.95,4321808.16
KZ01,FACE MASK,15167546.31,3793424.43
KZ01,BAG TEA,15056176.87,3314661.78
KZ01,AEROSOL AIR FRESHENER,14984363.71,3419706.21
KZ01,HAIR COLOUR,14945762.32,4192133.12
KZ01,ALKALINE,14417327.34,3079418.32
KZ01,HONEY,14022999.56,3260372.50
KZ01,MARGARINE & BUTTER,13714458.52,2072574.90
KZ01,PREGNANT MILK,13337727.98,896491.72
KZ01,INFANT MILK PREMIUM,12662818.58,501300.41
KZ01,DISPOSABLE RAZOR,12223682.55,3831771.35
KZ01,BABY LIQUID SOAP,12208145.61,2898850.05
KZ01,BABY BISCUIT & SNACK,12129964.55,2167704.83
KZ01,FOLLOW ON MILK PREMIUM,11736954.83,400983.71
KZ01,CHOCO RICE,11563276.11,2902102.38
KZ01,TEENS MILK,11432183.28,722133.10
KZ01,CONDITIONER,11357457.42,2557512.26
KZ01,PLESTER,11350764.65,2958902.98
KZ01,CARBONATED MALT,11288910.60,2911223.45
KZ01,IRONING,11152399.54,3300865.31
KZ01,WOMEN PARFUME & EDT,11083999.82,2883689.68
KZ01,MOTORCYCLE ACCESSORIES,10741545.26,2117633.61
KZ01,DESSERT,10629637.47,2823035.93
KZ01,TOILET NAPHTHALENE,10586638.68,3521685.72
KZ01,FLOUR,10383271.86,2270709.57
KZ01,ANALGESIC,10378383.22,2091302.02
KZ01,CABINET NAPHTHALENE,10374072.88,3610798.29
KZ01,ADULT COUGH MEDICINE,10351965.44,2465377.37
KZ01,HAND SOAP,10335091.09,3878336.47
KZ01,SIGARET ELEKTRIK,10171818.16,1512763.59
KZ01,SANITARY NAPKINS NON WINGS,10048291.36,2555640.99
KZ01,TOMATO,9389027.24,2186347.92
KZ01,GAS STOVE ARRANGEMENT,9359819.30,2500292.50
KZ01,PASTA,9339546.25,1960089.18
KZ01,HAIR VITAMIN,9201998.67,2664126.83
KZ01,MEN PARFUME & EDT,9173990.50,2324633.52
KZ01,JAM,9130855.71,2513562.18
KZ01,BEAUTY COTTON,9109275.24,2547190.74
KZ01,PANTYLINERS,9050499.10,2184064.68
KZ01,COCONUT MILK,8942727.53,2102787.56
KZ01,CLEANING EQUIPMENT,8792173.65,3475122.29
KZ01,CAN BISCUIT,8782172.75,1343654.26
KZ01,FLOUR SEASONING,8368036.13,1965072.00
KZ01,GEL AIR FRESHENER,8168600.35,2421000.74
KZ01,BLEACH,8145580.19,1990575.55
KZ01,MEN UNDERWEAR,8106727.27,2951344.65
KZ01,BODY SCRUB,8077136.26,2193712.54
